GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
47758	La Pine Northwest, OR Urban Cluster	C	9688927	0	3.741	0.	43.734206	-121.528276                                                                                                                    
47827	Laramie, WY Urban Cluster	C	47511843	56631	18.344	0.022	41.316465	-105.604642                                                                                                                     
47854	Laredo, TX Urbanized Area	U	170141155	185164	65.692	0.071	27.535328	-99.477843                                                                                                                    
47881	Larned, KS Urban Cluster	C	7055352	59280	2.724	0.023	38.181405	-99.113136                                                                                                                         
47908	Las Animas, CO Urban Cluster	C	3649648	0	1.409	0.	38.06567	-103.22047                                                                                                                             
47935	Las Cruces, NM Urbanized Area	U	167816123	51532	64.794	0.02	32.332902	-106.761806                                                                                                                 
47989	Las Vegas, NM Urban Cluster	C	25065495	0	9.678	0.	35.608292	-105.223363                                                                                                                           
47995	Las Vegas--Henderson, NV Urbanized Area	U	1080045571	250525	417.008	0.097	36.134893	-115.167218                                                                                                   
48016	Laughlin, NV Urban Cluster	C	3674193	0	1.419	0.	35.13567	-114.6237                                                                                                                                
48043	Laurel, MS Urban Cluster	C	50402334	89204	19.46	0.034	31.69063	-89.158354                                                                                                                         
48070	Laurel, MT Urban Cluster	C	16960921	0	6.549	0.	45.678374	-108.7618                                                                                                                                
48124	Laurel Lake, NJ Urban Cluster	C	4903408	559457	1.893	0.216	39.330229	-75.029414                                                                                                                   
48151	Laurens, SC Urban Cluster	C	19781955	0	7.638	0.	34.500037	-82.015952                                                                                                                              
48178	Laurinburg, NC Urban Cluster	C	48596975	401424	18.763	0.155	34.76428	-79.472888                                                                                                                   
48205	Laurium, MI Urban Cluster	C	9773667	8531	3.774	0.003	47.211307	-88.432902                                                                                                                         
48232	Lawrence, KS Urbanized Area	U	78843900	865280	30.442	0.334	38.9558	-95.259636                                                                                                                     
48259	Lawrenceburg, KY Urban Cluster	C	18340652	94821	7.081	0.037	38.043202	-84.906193                                                                                                                  
48286	Lawrenceburg, TN Urban Cluster	C	23813377	0	9.194	0.	35.246015	-87.331172                                                                                                                         
48313	Lawrenceburg--Greendale--Aurora, IN Urban Cluster	C	22577778	232605	8.717	0.09	39.118111	-84.899916                                                                                               
48340	Lawrenceville, IL Urban Cluster	C	14112083	102518	5.449	0.04	38.731654	-87.678856                                                                                                                 
48367	Lawrenceville, VA Urban Cluster	C	6733550	0	2.6	0.	36.766423	-77.832506                                                                                                                           
48394	Lawton, OK Urbanized Area	U	114162850	0	44.079	0.	34.618351	-98.416471                                                                                                                            
48421	Lead, SD Urban Cluster	C	5600314	0	2.162	0.	44.35823	-103.75351                                                                                                                                   
48448	Leadville, CO Urban Cluster	C	8653837	0	3.341	0.	39.250127	-106.293312                                                                                                                            
48475	Leavenworth, KS Urban Cluster	C	53305804	89657	20.581	0.035	39.290243	-94.920175                                                                                                                  
48485	Leavenworth, WA Urban Cluster	C	9637102	203562	3.721	0.079	47.591518	-120.660076                                                                                                                  
48502	Lebanon, IN Urban Cluster	C	16887994	0	6.52	0.	40.05176	-86.472353                                                                                                                                
48529	Lebanon, KY Urban Cluster	C	8134332	27958	3.141	0.011	37.568361	-85.25485                                                                                                                         
48556	Lebanon, MO Urban Cluster	C	31745485	165868	12.257	0.064	37.669549	-92.660851                                                                                                                     
48637	Lebanon, OR Urban Cluster	C	26276228	374893	10.145	0.145	44.512573	-122.884044                                                                                                                    
48664	Lebanon, PA Urbanized Area	U	116666417	528584	45.045	0.204	40.349361	-76.403534                                                                                                                   
48691	Lebanon, TN Urban Cluster	C	75252120	0	29.055	0.	36.215554	-86.31858                                                                                                                              
48718	Lebanon, VA Urban Cluster	C	7889940	1220	3.046	0.	36.903968	-82.070381                                                                                                                            
48728	Lebanon--Hanover, NH--VT Urban Cluster	C	54400750	900385	21.004	0.348	43.662139	-72.274998                                                                                                        
48745	Lee, MA Urban Cluster	C	29468523	905900	11.378	0.35	42.319054	-73.266067                                                                                                                          
48785	Leesburg, GA Urban Cluster	C	9507396	143776	3.671	0.056	31.737637	-84.172487                                                                                                                      
48799	Leesburg--Eustis--Tavares, FL Urbanized Area	U	245007252	25474582	94.598	9.836	28.81459	-81.773859                                                                                                
48826	Lee's Summit, MO Urbanized Area	U	107173182	4159662	41.38	1.606	38.898133	-94.375685                                                                                                              
48853	Leesville, LA Urban Cluster	C	16143206	56067	6.233	0.022	31.13991	-93.268741                                                                                                                      
48934	Leitchfield, KY Urban Cluster	C	13738790	32465	5.305	0.013	37.490104	-86.259244                                                                                                                   
48961	Leland, MS Urban Cluster	C	4866601	130595	1.879	0.05	33.406439	-90.893673                                                                                                                         
